_id,_index,_score,_source.message,_source.payload,_source.timestamp,_type
Wed Apr 11 2018 11:10:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 184762 Events,,2018-04-11T11:10:00.020Z,webhook
Wed Apr 11 2018 11:20:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 186405 Events,,2018-04-11T11:20:00.014Z,webhook
Wed Apr 11 2018 11:35:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 187496 Events,,2018-04-11T11:35:00.024Z,webhook
Wed Apr 11 2018 12:00:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 188909 Events,,2018-04-11T12:00:00.013Z,webhook
Wed Apr 11 2018 15:05:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 209951 Events,,2018-04-11T15:05:00.020Z,webhook
Wed Apr 11 2018 13:20:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 194756 Events,,2018-04-11T13:20:00.045Z,webhook
Wed Apr 11 2018 13:25:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 195160 Events,,2018-04-11T13:25:00.014Z,webhook
Wed Apr 11 2018 13:55:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 201732 Events,,2018-04-11T13:55:00.016Z,webhook
Wed Apr 11 2018 14:20:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 205317 Events,,2018-04-11T14:20:00.027Z,webhook
Wed Apr 11 2018 14:45:00 GMT+0000 (UTC),safehouse-ap-devices-2018-04-11,1.0,Found 208411 Events,,2018-04-11T14:45:00.026Z,webhook
